"There is no product with provided ID.","There is no product with provided ID."
"There is no simple or configurable product with provided ID.","There is no simple or configurable product with provided ID."
"There are no changes to the product.","There are no changes to the product."
"We can't save the product attribute.","We can't save the product attribute."
"Product %1. Old inscription: '%2'. New inscription: '%3'.","Product %1. Old inscription: '%2'. New inscription: '%3'."
"Product attribute has been saved.","Product attribute has been saved."
"Product Inscriptions","Product Inscriptions"
"Enable Logging","Enable Logging"
"Enables logging for changes made by API.","Enables logging for changes made by API."
